==== /home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/ContrastiveLearning_Model
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
/home/dsk2v/PointCloud/Data/3dbsf_txt
The minimum number of lines among all files: 51177
The maximum number of lines among all files: 63051
/home/dsk2v/PointCloud/BodyScan/FirstWorkingDraft/DataLoader/../../../Data/3dbsf_txt/
validation_data 10200

Epoch [1/200], Progress: 1/100, Train Loss: 3.4626, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 2/100, Train Loss: 3.4674, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 3/100, Train Loss: 3.4669, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 4/100, Train Loss: 3.4684, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 5/100, Train Loss: 3.4654, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 6/100, Train Loss: 3.4687, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 7/100, Train Loss: 3.4651, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 8/100, Train Loss: 3.4612, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 9/100, Train Loss: 3.4651, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 10/100, Train Loss: 3.4620, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 11/100, Train Loss: 3.4642, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 12/100, Train Loss: 3.4631, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 13/100, Train Loss: 3.4692, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 14/100, Train Loss: 3.4610, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 15/100, Train Loss: 3.4590, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 16/100, Train Loss: 3.4562, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 17/100, Train Loss: 3.4565, ContrastiveAccuracy:  0.1250
Epoch [1/200], Progress: 18/100, Train Loss: 3.4400, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 19/100, Train Loss: 3.4405, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 20/100, Train Loss: 3.3802, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 21/100, Train Loss: 3.3618, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 22/100, Train Loss: 3.2372, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 23/100, Train Loss: 3.0703, ContrastiveAccuracy:  0.0938
Epoch [1/200], Progress: 24/100, Train Loss: 3.2281, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 25/100, Train Loss: 3.2624, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 26/100, Train Loss: 3.0196, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 27/100, Train Loss: 3.0804, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 28/100, Train Loss: 2.9440, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 29/100, Train Loss: 2.8801, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 30/100, Train Loss: 2.9561, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 31/100, Train Loss: 2.8565, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 32/100, Train Loss: 2.7802, ContrastiveAccuracy:  0.0938
Epoch [1/200], Progress: 33/100, Train Loss: 2.8402, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 34/100, Train Loss: 2.6537, ContrastiveAccuracy:  0.0938
Epoch [1/200], Progress: 35/100, Train Loss: 2.7425, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 36/100, Train Loss: 2.7544, ContrastiveAccuracy:  0.1250
Epoch [1/200], Progress: 37/100, Train Loss: 2.8005, ContrastiveAccuracy:  0.0938
Epoch [1/200], Progress: 38/100, Train Loss: 2.7490, ContrastiveAccuracy:  0.0938
Epoch [1/200], Progress: 39/100, Train Loss: 2.5295, ContrastiveAccuracy:  0.2500
Epoch [1/200], Progress: 40/100, Train Loss: 2.6159, ContrastiveAccuracy:  0.1562
Epoch [1/200], Progress: 41/100, Train Loss: 2.8606, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 42/100, Train Loss: 2.6525, ContrastiveAccuracy:  0.1250
Epoch [1/200], Progress: 43/100, Train Loss: 3.2532, ContrastiveAccuracy:  0.0625
Epoch [1/200], Progress: 44/100, Train Loss: 3.4090, ContrastiveAccuracy:  0.0312
Epoch [1/200], Progress: 45/100, Train Loss: 2.6754, ContrastiveAccuracy:  0.0938
Epoch [1/200], Progress: 46/100, Train Loss: 2.7094, ContrastiveAccuracy:  0.1562
